,Seat Type,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
3422,Economy Class,1,1,1,1,3,1,1,0
3423,Business Class,3,1,1,4,3,3,1,0
3424,Business Class,4,5,5,3,3,4,1,1
3425,Economy Class,4,5,4,3,3,3,1,1
3426,Business Class,4,3,2,3,3,2,1,0
3427,Economy Class,3,1,2,3,3,3,1,0
3428,Economy Class,2,3,2,3,3,3,1,0
3429,Economy Class,2,3,1,4,3,2,1,0
3430,Economy Class,2,3,1,4,3,3,1,0
3431,Business Class,4,3,3,4,3,3,1,1
3432,Premium Economy,4,3,3,4,3,4,1,1
3433,Business Class,4,3,2,4,3,3,1,1
3434,Economy Class,5,5,5,3,3,4,1,1
3435,Economy Class,3,3,3,4,3,3,1,0
3436,Business Class,4,5,4,3,3,3,1,1
3437,Economy Class,3,4,3,3,3,4,1,1
3438,Premium Economy,1,3,5,3,3,1,1,0
3439,First Class,4,5,5,2,3,2,1,0
